Hospital Name,Address,City,State,Phone Number,Specialization
AIIMS,"Ansari Nagar, New Delhi",New Delhi,Delhi,+91-11-26588500,"Pulmonology, Respiratory Medicine"
Max Super Speciality Hospital,"Saket, New Delhi",New Delhi,Delhi,+91-11-26515050,Respiratory Diseases
BLK Super Speciality Hospital,"Pusa Road, New Delhi",New Delhi,Delhi,+91-11-30403040,Pulmonology
Apollo Hospitals,"Greams Road, Chennai",Chennai,Tamil Nadu,+91-44-28293333,"Lung Diseases, Respiratory Care"
Medanta - The Medicity,"Sector 38, Gurgaon",Gurgaon,Haryana,+91-124-4141414,"Pulmonology, Respiratory Medicine"
Fortis Escorts Heart Institute,"Okhla Road, New Delhi",New Delhi,Delhi,+91-11-26825000,Pulmonary Medicine
Narayana Health,"Bommasandra, Bangalore",Bangalore,Karnataka,+91-80-22157000,"Lung Transplant, Respiratory Care"
Kokilaben Dhirubhai Ambani Hospital,"Andheri West, Mumbai",Mumbai,Maharashtra,+91-22-30999999,Pulmonary Diseases
Wockhardt Hospitals,"Mumbai Central, Mumbai",Mumbai,Maharashtra,+91-22-61784444,Pulmonology
Global Hospitals,"Lakadganj, Nagpur",Nagpur,Maharashtra,+91-712-2725222,Lung Care
Ruby Hall Clinic,"Dhole Patil Road, Pune",Pune,Maharashtra,+91-20-26163391,Respiratory and Critical Care
Tata Memorial Hospital,"Parel, Mumbai",Mumbai,Maharashtra,+91-22-24177000,"Oncology, Lung Cancer"
Care Hospitals,"Banjara Hills, Hyderabad",Hyderabad,Telangana,+91-40-61656666,Lung Diseases
Aster CMI Hospital,"Hebbal, Bangalore",Bangalore,Karnataka,+91-80-23623456,Respiratory Care
Sri Ramachandra Medical Centre,"Porur, Chennai",Chennai,Tamil Nadu,+91-44-45928500,Pulmonology
Christian Medical College,"Vellore, Tamil Nadu",Vellore,Tamil Nadu,+91-416-2281000,Respiratory Medicine
Manipal Hospital,"Old Airport Road, Bangalore",Bangalore,Karnataka,+91-80-25024444,Pulmonology
KIMS Hospital,Secunderabad,Hyderabad,Telangana,+91-40-44885000,Respiratory Medicine
Yashoda Hospitals,"Somajiguda, Hyderabad",Hyderabad,Telangana,+91-40-45678900,Pulmonary Medicine
Ganga Hospital,"Coimbatore, Tamil Nadu",Coimbatore,Tamil Nadu,+91-422-2485000,Pulmonology
Gleneagles Global Health City,"Perumbakkam, Chennai",Chennai,Tamil Nadu,+91-44-44777000,"Pulmonology, Respiratory Care"
AMRI Hospitals,"Salt Lake, Kolkata",Kolkata,West Bengal,+91-33-66145000,Pulmonology
Sankara Nethralaya,"Nungambakkam, Chennai",Chennai,Tamil Nadu,+91-44-28271616,Pulmonology
Rajiv Gandhi Super Speciality Hospital,"Taharpur, Delhi",New Delhi,Delhi,+91-11-22135801,Pulmonology
Noble Hospital,"Hadapsar, Pune",Pune,Maharashtra,+91-20-66285000,Lung Diseases
Sterling Hospitals,"Ahmedabad, Gujarat",Ahmedabad,Gujarat,+91-79-22223333,Pulmonology
Sparsh Hospital,"Bangalore, Karnataka",Bangalore,Karnataka,+91-80-61222000,Pulmonology
Lotus Hospitals,"Kukatpally, Hyderabad",Hyderabad,Telangana,+91-40-66008555,Pulmonology
Rainbow Children's Hospital,"Banjara Hills, Hyderabad",Hyderabad,Telangana,+91-40-23319999,Pulmonology
Sal Hospital,"Ahmedabad, Gujarat",Ahmedabad,Gujarat,+91-79-27717711,Pulmonology
Manipal Hospital Whitefield,"Bangalore, Karnataka",Bangalore,Karnataka,+91-80-67333333,Pulmonology
Apollo Gleneagles Hospitals,"Phool Bagan, Kolkata",Kolkata,West Bengal,+91-33-23203040,Pulmonology
Fortis Memorial Research Institute,"Gurgaon, Haryana",Gurgaon,Haryana,+91-124-4962200,Pulmonology
Seven Hills Hospital,"Andheri East, Mumbai",Mumbai,Maharashtra,+91-22-28212222,Lung Transplant
Saifee Hospital,"Girgaon, Mumbai",Mumbai,Maharashtra,+91-22-67571000,Pulmonology
PSG Hospitals,"Peelamedu, Coimbatore",Coimbatore,Tamil Nadu,+91-422-2570170,Pulmonology
Columbia Asia Hospital,"Yeshwanthpur, Bangalore",Bangalore,Karnataka,+91-80-39898989,Pulmonology
AIG Hospitals,"Gachibowli, Hyderabad",Hyderabad,Telangana,+91-40-23393579,Pulmonology
Fortis La Femme,"Greater Kailash, New Delhi",New Delhi,Delhi,+91-11-40579400,Pulmonology
Shalby Hospitals,"Ahmedabad, Gujarat",Ahmedabad,Gujarat,+91-79-40208000,Pulmonology
Medica Superspecialty Hospital,"Mukundapur, Kolkata",Kolkata,West Bengal,+91-33-66520000,Pulmonology
